play_id,title,group_id,dominant_theme,theme_combination,avg_intensity,peak_scene_id,scene_count,speech_count,node_count,edge_count,density,linkage_hypotheses
01005017,柳林池,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 权谋战争,63.913028,scene_001,1,34,2,1,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01006001,连营寨,01000000,权谋战争,权谋战争 + 仕途功名 + 家庭伦理,47.993383,scene_005,18,238,28,98,0.259259,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
01006002,战长沙,01000000,权谋战争,权谋战争 + 忠义报国 + 忠奸冲突,60.601255,scene_004,11,124,6,13,0.866667,高冲突主题与较强叙事强度同步
01006003,草桥关,01000000,仕途功名,仕途功名 + 家庭伦理 + 婚恋离合,35.041127,scene_003,7,111,14,40,0.43956,
01006004,九更天,01000000,家庭伦理,家庭伦理 + 公案审判 + 权谋战争,62.029576,scene_004,7,161,10,26,0.577778,伦理/婚恋主题依赖较密集的人物关系呈现
01006005,状元谱,01000000,家庭伦理,家庭伦理 + 仕途功名 + 婚恋离合,32.179368,scene_003,3,279,7,15,0.714286,伦理/婚恋主题依赖较密集的人物关系呈现
01006006,叹皇陵,01000000,仕途功名,仕途功名 + 家庭伦理 + 婚恋离合,24.344209,scene_001,1,24,4,6,1.0,单场折子戏呈现集中式关系网络
01006007,定军山,01000000,权谋战争,权谋战争 + 忠奸冲突 + 忠义报国,67.059451,scene_017,21,260,16,39,0.325,高冲突主题与较强叙事强度同步
01006008,宝莲灯,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,52.275178,scene_002,4,283,7,12,0.571429,伦理/婚恋主题依赖较密集的人物关系呈现;剧情存在多峰值推进
01006009,连环套,01000000,家庭伦理,家庭伦理 + 复仇雪恨 + 忠义报国,41.827486,scene_002,5,154,7,12,0.571429,伦理/婚恋主题依赖较密集的人物关系呈现;剧情存在多峰值推进
01006010,落马湖,01000000,家庭伦理,家庭伦理 + 权谋战争 + 离别流亡,41.343947,scene_007,9,239,18,53,0.346405,剧情存在多峰值推进
01006011,花田错,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 离别流亡,37.205731,scene_006,9,421,11,39,0.709091,伦理/婚恋主题依赖较密集的人物关系呈现
01006012,梵王宫,01000000,婚恋离合,婚恋离合 + 家庭伦理 + 离别流亡,37.749903,scene_002,3,51,4,6,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01006013,孝义节,01000000,家庭伦理,家庭伦理 + 神怪仙佛 + 仕途功名,25.700254,scene_004,4,51,7,10,0.47619,
01006014,金水桥,01000000,家庭伦理,家庭伦理 + 仕途功名 + 公案审判,64.028291,scene_001,1,107,7,21,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01006015,罗成托梦,01000000,家庭伦理,家庭伦理 + 神怪仙佛 + 权谋战争,55.611532,scene_001,2,15,5,10,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01006016,探亲相骂,01000000,家庭伦理,家庭伦理 + 权谋战争 + 公案审判,31.332435,scene_002,3,175,6,9,0.6,伦理/婚恋主题依赖较密集的人物关系呈现
01006017,双包案,01000000,仕途功名,仕途功名 + 公案审判 + 神怪仙佛,12.123706,scene_002,4,45,7,16,0.761905,剧情存在多峰值推进
01006018,上天台,01000000,家庭伦理,家庭伦理 + 仕途功名 + 公案审判,48.971419,scene_001,1,51,5,10,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01006019,三疑计,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,40.929606,scene_003,5,193,8,20,0.714286,伦理/婚恋主题依赖较密集的人物关系呈现
01007001,卖马,01000000,家庭伦理,家庭伦理 + 仕途功名 + 离别流亡,31.046854,scene_002,4,328,7,15,0.714286,伦理/婚恋主题依赖较密集的人物关系呈现
01007002,八大锤,01000000,权谋战争,权谋战争 + 仕途功名 + 家庭伦理,51.441463,scene_002,15,305,21,62,0.295238,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
01007003,铡美案,01000000,公案审判,公案审判 + 仕途功名 + 家庭伦理,46.117506,scene_003,3,168,11,39,0.709091,高冲突主题与较强叙事强度同步
01007004,五台山,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 权谋战争,41.705088,scene_001,1,106,3,3,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01007005,凤鸣关,01000000,权谋战争,权谋战争 + 家庭伦理 + 仕途功名,65.365862,scene_007,11,55,8,11,0.392857,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
01007006,罗成叫关,01000000,家庭伦理,家庭伦理 + 权谋战争 + 忠奸冲突,48.502377,scene_001,1,20,2,1,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01007008,别宫,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,31.922028,scene_002,2,38,3,2,0.666667,伦理/婚恋主题依赖较密集的人物关系呈现
01007011,蝴蝶杯,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 公案审判,60.948613,scene_014,20,693,28,140,0.37037,剧情存在多峰值推进
01007013,刺王僚,01000000,家庭伦理,家庭伦理 + 仕途功名 + 权谋战争,45.98152,scene_002,2,43,7,21,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01007014,五雷阵,01000000,家庭伦理,家庭伦理 + 权谋战争 + 神怪仙佛,73.824644,scene_002,5,65,5,4,0.4,
01007015,铁莲花,01000000,家庭伦理,家庭伦理 + 权谋战争 + 离别流亡,55.358395,scene_002,5,191,4,6,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01007016,纺棉花,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 离别流亡,39.601092,scene_001,1,100,2,1,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01008003,汾河湾,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 权谋战争,51.913752,scene_001,4,192,5,5,0.5,
01008004,阳平关,01000000,权谋战争,权谋战争 + 仕途功名 + 忠奸冲突,46.190241,scene_011,13,280,22,103,0.445887,高冲突主题与较强叙事强度同步
01008005,算粮登殿,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,38.306349,scene_001,1,209,10,45,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01008006,虹霓关,01000000,婚恋离合,婚恋离合 + 权谋战争 + 仕途功名,49.309152,scene_011,15,185,16,67,0.558333,伦理/婚恋主题依赖较密集的人物关系呈现;剧情存在多峰值推进
01008008,杜十娘,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 离别流亡,32.64807,scene_007,15,236,13,35,0.448718,剧情存在多峰值推进
01008009,遇龙封官,01000000,家庭伦理,家庭伦理 + 仕途功名 + 公案审判,25.629219,scene_003,5,194,8,21,0.75,伦理/婚恋主题依赖较密集的人物关系呈现
01008010,二姐逛庙,01000000,家庭伦理,家庭伦理 + 离别流亡 + 复仇雪恨,35.131346,scene_001,3,175,3,3,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01008011,双钉记,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 离别流亡,36.081682,scene_002,2,121,8,20,0.714286,伦理/婚恋主题依赖较密集的人物关系呈现
01009001,失街亭,01000000,权谋战争,权谋战争 + 仕途功名 + 公案审判,47.809399,scene_002,10,102,11,23,0.418182,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
01009002,斩马谡,01000000,权谋战争,权谋战争 + 公案审判 + 仕途功名,56.899186,scene_001,1,40,7,21,1.0,高冲突主题与较强叙事强度同步;单场折子戏呈现集中式关系网络
01009003,凤仪亭,01000000,婚恋离合,婚恋离合 + 家庭伦理 + 离别流亡,33.704314,scene_001,1,89,5,10,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01009004,十八扯,01000000,家庭伦理,家庭伦理 + 权谋战争 + 仕途功名,52.392297,scene_001,1,181,2,1,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01009005,岳家庄,01000000,家庭伦理,家庭伦理 + 权谋战争 + 公案审判,38.775623,scene_004,4,180,10,29,0.644444,伦理/婚恋主题依赖较密集的人物关系呈现
01009006,长坂坡,01000000,权谋战争,权谋战争 + 家庭伦理 + 离别流亡,52.362323,scene_004,14,137,18,38,0.248366,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
01009008,白良关,01000000,家庭伦理,家庭伦理 + 权谋战争 + 仕途功名,51.832363,scene_009,13,242,13,33,0.423077,剧情存在多峰值推进
01009009,卖绒花,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 公案审判,29.642913,scene_002,2,303,7,19,0.904762,伦理/婚恋主题依赖较密集的人物关系呈现
01009010,伐子都,01000000,仕途功名,仕途功名 + 家庭伦理 + 权谋战争,48.846858,scene_007,17,145,12,26,0.393939,剧情存在多峰值推进
01009011,雁门关,01000000,权谋战争,权谋战争 + 家庭伦理 + 仕途功名,39.647177,scene_002,6,218,11,47,0.854545,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
01009012,青石山,01000000,家庭伦理,家庭伦理 + 神怪仙佛 + 公案审判,37.680409,scene_010,12,285,13,26,0.333333,剧情存在多峰值推进
01009013,长亭会,01000000,家庭伦理,家庭伦理 + 仕途功名 + 权谋战争,44.603594,scene_002,2,15,4,4,0.666667,伦理/婚恋主题依赖较密集的人物关系呈现
01009014,濮阳城,01000000,权谋战争,权谋战争 + 神怪仙佛 + 忠奸冲突,48.771459,scene_009,9,171,17,61,0.448529,高冲突主题与较强叙事强度同步
01009015,战樊城,01000000,家庭伦理,家庭伦理 + 仕途功名 + 离别流亡,49.382408,scene_006,6,116,10,31,0.688889,伦理/婚恋主题依赖较密集的人物关系呈现;剧情存在多峰值推进
01009016,进蛮诗,01000000,仕途功名,仕途功名 + 忠奸冲突 + 忠义报国,33.12306,scene_001,2,168,8,28,1.0,
01009018,失印救火,01000000,家庭伦理,家庭伦理 + 仕途功名 + 公案审判,42.352055,scene_001,5,361,9,23,0.638889,伦理/婚恋主题依赖较密集的人物关系呈现;剧情存在多峰值推进
01010001,马鞍山,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 离别流亡,28.889707,scene_003,3,64,5,10,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01010002,宫门带,01000000,仕途功名,仕途功名 + 家庭伦理 + 公案审判,53.818462,scene_003,3,97,10,36,0.8,
01010003,渭水河,01000000,家庭伦理,家庭伦理 + 仕途功名 + 权谋战争,44.976037,scene_002,5,94,12,27,0.409091,
01010004,法场换子,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 公案审判,55.36105,scene_002,2,56,9,36,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01010005,忠孝牌,01000000,家庭伦理,家庭伦理 + 仕途功名 + 婚恋离合,34.477193,scene_001,3,91,6,14,0.933333,伦理/婚恋主题依赖较密集的人物关系呈现
01010006,忠孝图,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,41.746027,scene_001,1,217,3,3,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01010007,打面缸,01000000,家庭伦理,家庭伦理 + 仕途功名 + 公案审判,33.457051,scene_002,2,292,11,49,0.890909,伦理/婚恋主题依赖较密集的人物关系呈现
01010010,锁云囊,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,38.450168,scene_004,4,119,10,30,0.666667,伦理/婚恋主题依赖较密集的人物关系呈现
01010011,人才驸马,01000000,家庭伦理,家庭伦理 + 权谋战争 + 婚恋离合,39.000387,scene_001,11,309,7,13,0.619048,伦理/婚恋主题依赖较密集的人物关系呈现;剧情存在多峰值推进
01010012,查头关,01000000,家庭伦理,家庭伦理 + 仕途功名 + 离别流亡,40.40753,scene_001,3,280,4,6,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01010013,双断桥,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 权谋战争,35.695304,scene_001,1,37,3,3,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01010014,卖饽饽,01000000,家庭伦理,家庭伦理 + 离别流亡 + 婚恋离合,32.829744,scene_001,2,287,4,5,0.833333,伦理/婚恋主题依赖较密集的人物关系呈现
01010015,荐诸葛,01000000,家庭伦理,家庭伦理 + 权谋战争 + 离别流亡,38.049083,scene_002,3,87,8,28,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01010016,风云会,01000000,权谋战争,权谋战争 + 仕途功名 + 家庭伦理,56.625855,scene_003,4,53,4,4,0.666667,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
